brand,restaurant,source_file,section,item_type,item_name,description,price_eur,currency,notes
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Couvert,"Seleção de pão de massa mãe e tostas caseiras, servidos com manteiga aromatizada",4.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Sopa,Sopa de legumes selecionados,3.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Croquetes,Os melhores croquetes de Almada,6.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Guiosas,Guiosas Japonesas de carne ou vegetarianas,5.0,EUR,vegetarian option mentioned
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Taco de sardinha,Um taco repleto de sabores,5.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Bao de tempura de bacalhau,O típico pão de Bao com um recheio de bacalhau e sweet chili,6.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Bao de lombo,Bao de lombo com maionese caseira de Kimchi e pico de galo,7.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Bao de legumes,Bao com tempura de beringela e maionese de Kimchi e pico de galo,5.0,EUR,vegetarian
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Picapau do lombo,"Lombo no ponto, para picar, com um molho especial do chef",13.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Carpaccio de Lirio dos Açores,Lirio dos Açores com espuma de tomilho e Ponzu,10.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Peixinhos da Horta,Muito estaladiços e acompanhados por uma maionese cítrica,4.0,EUR,vegetarian
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Caril de legumes,Caril e tempuras de legumes acompanhado com arroz aromático,13.0,EUR,vegetarian
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Risotto de abóbora,Um risotto muito cremoso onde a abóbora é rainha,13.0,EUR,vegetarian
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Brás de alho Francês,Cremoso e com batatas fritas muito finas,13.0,EUR,vegetarian
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Para começar,food,Abóbora assada,Abóbora Hokaido assada com quinoa e legumes salteados,15.0,EUR,vegetarian
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Da terra,food,Bife do lombo,Bife tenro do lombo acompanhado com batatas fritas caseiras e legumes frescos salteados em azeite e especiarias,27.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Da terra,food,Carré de borrego,Carré acompanhado com puré de maçã e cenoura e legumes baby,26.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Da terra,food,Magret de pato,"Peito de pato rosado, suculento e delicadamente grelhado",20.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Da terra,food,Perna de peru,Cozinhada a baixa temperatura com batatas de forno e arroz basmati,15.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Da terra,food,Hamburger Black Angus,Um clássico revisitado pelo chef,14.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Do mar,food,Lombo de bacalhau,"Bacalhau lascado sobre puré de ervilhas, emulsão de salsa e azeitona desidratada",21.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Do mar,food,Lombo de robalo,Lombo de robalo com batatas caramelizadas e pérolas de abóbora e courgete,22.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Do mar,food,Lirio dos Açores,Cozinhado a baixa temperatura. Acompanhado com puré de batata doce roxa e legumes salteados,21.0,EUR,
